tau,rho,eta,mean_theory,mean_mc,abs_err_mean,var_theory,var_mc,abs_err_var
0,0.05,1.05263157894737,0.0526315789473684,0.05116,0.00147157894736837,0.0554016620498614,0.0542237388747849,0.00117792317507654
0,0.15,1.17647058823529,0.176470588235294,0.17878,0.00230941176470584,0.207612456747405,0.212341958439178,0.00472950169177361
0,0.3,1.42857142857143,0.428571428571429,0.42256,0.00601142857142861,0.612244897959184,0.603095108302007,0.00914978965717717
0,0.5,2,1,1.00208,0.00208000000000008,2,2.01255592471877,0.0125559247187668
0,0.7,3.33333333333333,2.33333333333333,2.33144,0.00189333333333286,7.77777777777778,7.80514362927197,0.0273658514941921
0,0.85,6.66666666666667,5.66666666666667,5.6841,0.0174333333333339,37.7777777777778,38.4401559931194,0.662378215341597
0.1,0.05,1.05235579243784,0.0523557924378382,0.05108,0.00127579243783817,0.0550969214396322,0.0535519046381038,0.00154501680152834
0.1,0.15,1.17543774124644,0.175437741246438,0.17348,0.00195774124643808,0.20621614230009,0.201708723774483,0.00450741852560718
0.1,0.3,1.42552939910598,0.425529399105984,0.42278,0.00274939910598387,0.606604668609484,0.606129194184003,0.00047547442548046
0.1,0.5,1.99009083811116,0.990090838111161,0.98898,0.00111083811116086,1.97037070582282,1.96725790475819,0.00311280106463152
0.1,0.7,3.29505060360988,2.29505060360988,2.28314,0.0119106036098757,7.56230787673993,7.55548285005719,0.00682502668274321
0.1,0.85,6.48372350667363,5.48372350667363,5.53942,0.0556964933263675,35.5549470043186,35.8420029036586,0.287055899339983
0.25,0.05,1.05094694579289,0.0509469457928933,0.05122,0.000273054207106729,0.0535425370785173,0.0538375883517596,0.000295051273242329
0.25,0.15,1.17018126916935,0.170181269169354,0.17166,0.0014787308306464,0.199142933545446,0.202396892337835,0.00325395879238896
0.25,0.3,1.41016492601704,0.410164926017041,0.41346,0.00329507398295853,0.578400192551607,0.578842405248136,0.000442212696529665
0.25,0.5,1.94088760723683,0.940887607236834,0.94032,0.000567607236833467,1.82615709668869,1.8343149838997,0.00815788721101396
0.25,0.7,3.11216756445162,2.11216756445162,2.09602,0.0161475644516207,6.57341938477311,6.48756991099845,0.0858494737746627
0.25,0.85,5.68543892676026,4.68543892676026,4.69286,0.00742107323973595,26.6387768631606,26.59805698154,0.0407198816205891
0.5,0.05,1.04639828810215,0.0463982881021472,0.04496,0.00143828810214719,0.048551089240957,0.0464195267905443,0.00213156245041279
0.5,0.15,1.15343291334159,0.153432913341591,0.1507,0.00273291334159126,0.17697457223808,0.172432958659176,0.00454161357890306
0.5,0.3,1.36248258586859,0.362482585868594,0.36192,0.000562585868594256,0.493876210926577,0.489223698073999,0.00465251285257806
0.5,0.5,1.79665282782809,0.796652827828094,0.79682,0.000167172171906205,1.43130855591459,1.42424637252745,0.00706218338714248
0.5,0.7,2.63694456594133,1.63694456594133,1.63758,0.000635434058673168,4.31653207790617,4.35543885237718,0.0389067744710117
0.5,0.85,4.06167328177726,3.06167328177726,3.1017,0.0400267182227365,12.435516566126,12.7185314806293,0.283014914503312
1,0.05,1.03348780958919,0.0334878095891902,0.03438,0.000892190410809825,0.034609242980272,0.0357187299745922,0.00110948699432013
1,0.15,1.10767503061292,0.107675030612922,0.10588,0.00179503061292172,0.119268942830415,0.118631798235951,0.000637144594463873
1,0.3,1.24133591305168,0.241335913051681,0.23806,0.00327591305168101,0.29957893598017,0.296873373867446,0.00270556211272399
1,0.5,1.47934932670719,0.479349326707194,0.4852,0.00585067329280559,0.709125103721835,0.706635092701892,0.00249001101994339
1,0.7,1.83028831536784,0.830288315367842,0.83282,0.00253168463215758,1.51966700200421,1.5230213080264,0.00335430602218945
1,0.85,2.22640852637094,1.22640852637094,1.22126,0.00514852637094165,2.73048639992629,2.69811797475966,0.0323684251666276
1.5,0.05,1.02171637907911,0.0217163790791055,0.02144,0.000276379079105507,0.0221879801994129,0.0217807620152442,0.000407218184168761
1.5,0.15,1.06810722172743,0.0681072217274319,0.06666,0.00144722172743189,0.0727458153788615,0.0718578815576349,0.000887933821226594
1.5,0.3,1.14616965237928,0.146169652379281,0.14572,0.000449652379281268,0.167535219655961,0.168249046580959,0.000713826924997385
1.5,0.5,1.26991870258368,0.269918702583685,0.26532,0.00459870258368489,0.342774808588145,0.341252122642437,0.00152268594570715
1.5,0.7,1.4236237755715,0.423623775571504,0.43216,0.00853622442849644,0.603080878800959,0.62525023940482,0.0221693606038607
1.5,0.85,1.56575782754318,0.565757827543177,0.57214,0.00638217245682282,0.885839746969553,0.900253825476348,0.0144140785067958
