tau,rho,eta,eta_neg_tau,eta_sphere,eta_series,resid_involution,resid_sphere,resid_series,resid_parabolic,u
0,-0.95,0.512820512820513,0.512820512820513,0.512820512820513,0.51283758976048,0,0,1.7076939967442e-05,0,-0.95
0,-0.9,0.526315789473684,0.526315789473684,0.526315789473684,0.526315789807873,0,0,3.34188565709326e-10,0,-0.9
0,-0.85,0.54054054054054,0.54054054054054,0.54054054054054,0.540540540540545,0,0,4.21884749357559e-15,0,-0.85
0,-0.8,0.555555555555556,0.555555555555556,0.555555555555556,0.555555555555555,0,0,3.33066907387547e-16,0,-0.8
0,-0.75,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0,0,2.22044604925031e-16,0,-0.75
0,-0.7,0.588235294117647,0.588235294117647,0.588235294117647,0.588235294117647,0,0,1.11022302462516e-16,0,-0.7
0,-0.65,0.606060606060606,0.606060606060606,0.606060606060606,0.606060606060606,0,0,2.22044604925031e-16,0,-0.65
0,-0.6,0.625,0.625,0.625,0.625,0,0,1.11022302462516e-16,0,-0.6
0,-0.55,0.645161290322581,0.645161290322581,0.645161290322581,0.64516129032258,0,0,3.33066907387547e-16,0,-0.55
0,-0.5,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0,0,-0.5
0,-0.45,0.689655172413793,0.689655172413793,0.689655172413793,0.689655172413793,0,0,1.11022302462516e-16,0,-0.45
0,-0.4,0.714285714285714,0.714285714285714,0.714285714285714,0.714285714285715,0,0,2.22044604925031e-16,0,-0.4
0,-0.35,0.740740740740741,0.740740740740741,0.740740740740741,0.740740740740741,0,0,1.11022302462516e-16,0,-0.35
0,-0.3,0.769230769230769,0.769230769230769,0.769230769230769,0.769230769230769,0,0,0,0,-0.3
0,-0.25,0.8,0.8,0.8,0.8,0,0,0,0,-0.25
0,-0.2,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0,0,0,0,-0.2
0,-0.15,0.869565217391304,0.869565217391304,0.869565217391304,0.869565217391304,0,0,1.11022302462516e-16,0,-0.15
0,-0.1,0.909090909090909,0.909090909090909,0.909090909090909,0.909090909090909,0,0,2.22044604925031e-16,0,-0.1
0,-0.05,0.952380952380952,0.952380952380952,0.952380952380952,0.952380952380952,0,0,0,0,-0.05
0,0,1,1,1,1,0,0,0,0,0
0,0.05,1.05263157894737,1.05263157894737,1.05263157894737,1.05263157894737,0,0,0,0,0.05
0,0.1,1.11111111111111,1.11111111111111,1.11111111111111,1.11111111111111,0,0,0,0,0.1
0,0.15,1.17647058823529,1.17647058823529,1.17647058823529,1.17647058823529,0,0,2.22044604925031e-16,0,0.15
0,0.2,1.25,1.25,1.25,1.25,0,0,0,0,0.2
0,0.25,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,0,0,0,0,0.25
0,0.3,1.42857142857143,1.42857142857143,1.42857142857143,1.42857142857143,0,0,2.22044604925031e-16,0,0.3
0,0.35,1.53846153846154,1.53846153846154,1.53846153846154,1.53846153846154,0,0,2.22044604925031e-16,0,0.35
0,0.4,1.66666666666667,1.66666666666667,1.66666666666667,1.66666666666667,0,0,4.44089209850063e-16,0,0.4
0,0.45,1.81818181818182,1.81818181818182,1.81818181818182,1.81818181818182,0,0,0,0,0.45
0,0.5,2,2,2,2,0,0,2.22044604925031e-16,0,0.5
0,0.55,2.22222222222222,2.22222222222222,2.22222222222222,2.22222222222222,0,0,8.88178419700125e-16,0,0.55
0,0.6,2.5,2.5,2.5,2.5,0,0,4.44089209850063e-16,0,0.6
0,0.65,2.85714285714286,2.85714285714286,2.85714285714286,2.85714285714286,0,0,0,0,0.65
0,0.7,3.33333333333333,3.33333333333333,3.33333333333333,3.33333333333333,0,0,1.77635683940025e-15,0,0.7
0,0.75,4,4,4,4,0,0,4.44089209850063e-16,0,0.75
0,0.8,5,5,5,5,0,0,8.88178419700125e-16,0,0.8
0,0.85,6.66666666666667,6.66666666666667,6.66666666666667,6.66666666666662,0,0,4.70734562441066e-14,0,0.85
0,0.9,9.99999999999999,9.99999999999999,9.99999999999999,9.99999999365042,0,0,6.34956620615412e-09,0,0.9
0,0.95,20,20,20,19.9993339993412,0,0,0.000666000658743116,0,0.95
0.1,-0.95,0.514067532170661,0.514067532170661,0.514067532170661,0.514073808769806,0,1.11022302462516e-16,6.27659914498313e-06,0.00255858076401161,-0.945269711505565
0.1,-0.9,0.527560088795755,0.527560088795755,0.527560088795755,0.527560088918576,0,0,1.2282119765672e-10,0.00262570559365538,-0.895518674057904
0.1,-0.85,0.541780005329654,0.541780005329654,0.541780005329654,0.541780005329656,0,0,1.77635683940025e-15,0.00269644737817143,-0.845767636610243
0.1,-0.8,0.556787727054563,0.556787727054563,0.556787727054563,0.556787727054563,0,0,2.22044604925031e-16,0.00277110655594814,-0.796016599162581
0.1,-0.75,0.572650587587577,0.572650587587577,0.572650587587578,0.572650587587578,0,1.11022302462516e-16,2.22044604925031e-16,0.00285001778700766,-0.74626556171492
0.1,-0.7,0.58944381889799,0.58944381889799,0.58944381889799,0.58944381889799,0,0,1.11022302462516e-16,0.00293355496837144,-0.696514524267259
0.1,-0.65,0.60725174440885,0.60725174440885,0.60725174440885,0.607251744408849,0,1.11022302462516e-16,2.22044604925031e-16,0.00302213715809418,-0.646763486819597
0.1,-0.6,0.626169195107574,0.626169195107574,0.626169195107574,0.626169195107574,0,0,1.11022302462516e-16,0.00311623560601615,-0.597012449371936
0.1,-0.55,0.646303198860453,0.646303198860453,0.646303198860453,0.646303198860453,0,1.11022302462516e-16,1.11022302462516e-16,0.00321638214019593,-0.547261411924275
